Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2014-05-25,17,9.92,106.9,0,MOHK_D10,MHK
2014-05-25,16.5,10.13,108,1,MOHK_D10,MHK
2014-05-25,16.2,10.04,106.4,2,MOHK_D10,MHK
2014-05-25,15.6,9.92,103.6,3,MOHK_D10,MHK
2014-05-25,13.2,10.32,102.4,4,MOHK_D10,MHK
2014-05-25,10.4,10.17,94.6,5,MOHK_D10,MHK
2014-05-25,8.9,9.87,88.7,6,MOHK_D10,MHK
2014-05-25,7.7,9.61,83.8,7,MOHK_D10,MHK
2014-05-25,7.1,9.55,82,8,MOHK_D10,MHK
2014-05-25,6.7,9.16,77.9,9,MOHK_D10,MHK
2014-05-25,6.4,7.83,66.1,10,MOHK_D10,MHK
2014-05-25,6.2,7.6,63.7,11,MOHK_D10,MHK
2014-05-25,6,6.68,55.9,12,MOHK_D10,MHK
