Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-08-27,22.2,9.11,109.2,0,MOHK_D10,MHK
2025-08-27,22.1,9.12,109.1,1,MOHK_D10,MHK
2025-08-27,21.7,9.08,107.8,2,MOHK_D10,MHK
2025-08-27,21.5,9.01,106.6,3,MOHK_D10,MHK
2025-08-27,21.4,8.97,105.9,4,MOHK_D10,MHK
2025-08-27,19.1,12.29,138.7,5,MOHK_D10,MHK
2025-08-27,14.1,12.18,123.8,6,MOHK_D10,MHK
2025-08-27,11.5,10.58,101.4,7,MOHK_D10,MHK
2025-08-27,9.8,9.13,83.9,8,MOHK_D10,MHK
2025-08-27,8.3,5.26,46.7,9,MOHK_D10,MHK
2025-08-27,7.6,2.27,19.8,10,MOHK_D10,MHK
2025-08-27,7,0.42,3.6,11,MOHK_D10,MHK
2025-08-27,6.7,0.34,2.9,12,MOHK_D10,MHK
