Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
2/12/2025,10:11:42,Mohonk,2.365,11.85,86.6,0.44,0.12,NA,97.4,0.05,63,734.7,MHK,8.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:11:12,Mohonk,2.336,12.04,87.9,0.54,0.1,NA,97.6,0.05,63,734.8,MHK,8,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:10:34,Mohonk,2.294,12.19,88.9,0.61,0.1,NA,97.7,0.05,63,734.8,MHK,7.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:10:09,Mohonk,2.267,12.25,89.2,1.01,0.19,NA,98.1,0.05,64,734.8,MHK,7.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:09:50,Mohonk,2.257,12.25,89.2,0.94,0.22,NA,98.2,0.05,64,734.8,MHK,7.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:09:23,Mohonk,2.249,12.23,89.1,0.78,0.13,NA,98,0.05,64,734.9,MHK,7,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:08:54,Mohonk,2.237,12.15,88.5,1.1,0.2,NA,97.9,0.05,64,734.8,MHK,6.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:08:24,Mohonk,2.23,12.12,88.2,0.98,0.23,NA,97.3,0.05,63,734.8,MHK,6.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:07:50,Mohonk,2.224,12.18,88.6,0.96,0.23,NA,97.2,0.05,63,734.8,MHK,6.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:07:25,Mohonk,2.213,12.25,89.1,1.12,0.32,NA,97.4,0.05,63,734.7,MHK,6,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:07:02,Mohonk,2.207,12.31,89.5,0.56,0.18,NA,97.3,0.05,63,734.7,MHK,5.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:06:39,Mohonk,2.203,12.41,90.3,0.94,0.18,NA,97.5,0.05,63,734.8,MHK,5.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:06:14,Mohonk,2.186,12.51,91,0.97,0.22,NA,97.8,0.05,64,734.8,MHK,5.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:05:54,Mohonk,2.175,12.59,91.5,1,0.25,NA,97.9,0.05,64,734.7,MHK,5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:05:30,Mohonk,2.16,12.65,91.9,1.51,0.31,NA,98,0.05,64,734.8,MHK,4.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:05:02,Mohonk,2.154,12.67,92,1.08,0.33,NA,98,0.05,64,734.8,MHK,4.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:04:36,Mohonk,2.148,12.68,92.1,0.91,0.18,NA,97.8,0.05,64,734.8,MHK,4.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:04:11,Mohonk,2.144,12.69,92.2,0.88,0.22,NA,97.7,0.05,63,734.8,MHK,4,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:03:49,Mohonk,2.139,12.71,92.3,1.03,0.3,NA,97.5,0.05,63,734.8,MHK,3.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:03:20,Mohonk,2.135,12.74,92.5,0.87,0.2,NA,97.1,0.05,63,734.8,MHK,3.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:02:51,Mohonk,2.135,12.77,92.7,1.09,0.3,NA,96.9,0.05,63,734.8,MHK,3.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:02:28,Mohonk,2.134,12.79,92.8,1.24,0.3,NA,96.9,0.04,63,734.8,MHK,3,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:01:50,Mohonk,2.132,12.82,93,0.85,0.19,NA,96.8,0.04,63,734.8,MHK,2.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:01:19,Mohonk,2.129,12.87,93.4,0.67,0.14,NA,96.8,0.04,63,734.8,MHK,2.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:00:56,Mohonk,2.126,12.91,93.7,0.48,0.09,NA,96.8,0.04,63,734.8,MHK,2.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:00:33,Mohonk,2.122,12.96,94.1,0.42,0.11,NA,96.7,0.04,63,734.8,MHK,2,NA,NA,NA,41.766,-74.158,379
2/12/2025,10:00:11,Mohonk,2.116,13.04,94.6,0.53,0.09,NA,96.6,0.04,63,734.8,MHK,1.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:59:47,Mohonk,2.083,13.13,95.2,0.53,0.12,NA,96.8,0.04,63,734.8,MHK,1.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:59:23,Mohonk,2.036,13.26,96,0.54,0.11,NA,97.1,0.05,63,734.8,MHK,1.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:59:00,Mohonk,1.918,13.45,97,0.53,0.13,NA,97.8,0.05,64,734.8,MHK,1,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:58:39,Mohonk,1.776,13.62,97.9,0.8,0.31,NA,98.5,0.05,64,734.8,MHK,0.75,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:58:05,Mohonk,0.796,13.94,97.5,3.79,0.47,NA,103,0.05,67,734.7,MHK,0.5,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:57:17,Mohonk,0.081,14.09,96.6,1.01,0.64,NA,104.3,0.05,68,734.8,MHK,0.25,NA,NA,NA,41.766,-74.158,379
2/12/2025,09:56:52,Mohonk,0.074,14.09,96.6,1.3,0.31,NA,104.3,0.05,68,734.7,MHK,0,NA,NA,NA,41.766,-74.158,379
