lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,4/2/2025,10:52:23,NA,6.053,11.94,96,1,-0.51,NA,NA,NA,91.5,0.04,59,NA,0,0,0,738.7
MHK,4/2/2025,10:52:48,NA,5.949,12.17,97.6,0.74,-0.51,NA,NA,NA,89.3,0.04,58,NA,0,0,0,738.7
MHK,4/2/2025,10:53:13,NA,5.894,12.28,98.4,0.82,-0.44,NA,NA,NA,88.8,0.04,58,NA,41.76798,-74.15533,380.6,738.7
MHK,4/2/2025,10:53:37,NA,5.816,12.33,98.6,1.06,-0.34,NA,NA,NA,88.9,0.04,58,NA,0,0,0,738.7
MHK,4/2/2025,10:54:02,NA,5.819,12.35,98.7,1.21,-0.18,NA,NA,NA,88.8,0.04,58,NA,41.76788,-74.15569,379.1,738.7
MHK,4/2/2025,10:54:31,NA,5.778,12.35,98.7,1.17,-0.22,NA,NA,NA,89,0.04,58,NA,41.76792,-74.15569,376.6,738.7
MHK,4/2/2025,10:54:55,NA,5.775,12.35,98.7,1.27,-0.19,NA,NA,NA,89.1,0.04,58,NA,41.76801,-74.15567,377.2,738.6
MHK,4/2/2025,10:55:20,NA,5.764,12.34,98.5,0.8,-0.17,NA,NA,NA,89.2,0.04,58,NA,0,0,0,738.7
MHK,4/2/2025,10:55:45,NA,5.767,12.32,98.4,0.9,-0.14,NA,NA,NA,89.4,0.04,58,NA,0,0,0,738.7
MHK,4/2/2025,10:56:10,NA,5.755,12.31,98.3,1.79,-0.08,NA,NA,NA,89.5,0.04,58,NA,41.76786,-74.15551,375.2,738.7
MHK,4/2/2025,10:56:36,NA,5.756,12.29,98.1,1.28,-0.19,NA,NA,NA,89.7,0.04,58,NA,41.76785,-74.15553,376.4,738.7
MHK,4/2/2025,10:57:04,NA,5.753,12.27,97.9,2.44,-0.08,NA,NA,NA,89.9,0.04,58,NA,41.76786,-74.15553,383,738.7
